airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
laf,0,path,,UNLABELED,155.27,376.56,174.23,341.3,18.96,35.26,668.5297,399.3231,91.6621,164.75,358.93,0.5377,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.2709,9.801,81.0784,26.8245,0.0,594.0,387.36,0.0,437.6006
laf,1,path,,UNLABELED,104.62,368.2,131.62,345.18,27.0,23.02,621.5401,228.4406,191.8591,118.12,356.69,1.1729,53,1,0,1,rgb,207,207,207,0,none,,,,0.0,155.3914,2.0255,81.5488,13.8807,0.0,594.0,387.36,0.0,459.8138
laf,2,path,,UNLABELED,217.92,361.29,240.49,336.22,22.57,25.07,565.8302,91.3664,64.6351,229.205,348.755,0.9003,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.7991,84.103,130.4762,30.302,0.0,594.0,387.36,0.0,103.0376
laf,3,path,,UNLABELED,165.1,480.57,192.35,457.16,27.25,23.41,637.9226,106.4703,53.7844,178.725,468.865,1.164,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.4751,62.5709,40.5506,22.0575,0.0,594.0,387.36,0.0,111.8025
laf,4,path,,UNLABELED,136.88,446.63,152.37,431.22,15.49,15.41,238.701,55.5781,41.2882,144.625,438.925,1.0052,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.269,17.9735,41.3046,16.3469,0.0,594.0,387.36,0.0,69.2663
laf,5,path,,UNLABELED,144.74,241.39,164.66,142.09,19.92,99.3,1978.0562,320.0358,191.3578,154.7,191.74,0.2006,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.2701,558.1478,80.8685,62.0666,0.0,594.0,387.36,0.0,413.3202
laf,6,path,,UNLABELED,279.17,305.91,284.16,299.55,4.99,6.36,31.7363,13.412,16.1935,281.665,302.73,0.7846,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.3607,2.3561,130.449,4.9016,0.0,594.0,387.36,0.0,15.8832
laf,7,path,,UNLABELED,267.29,321.23,274.32,312.63,7.03,8.6,60.458,23.3192,23.7926,270.805,316.93,0.8174,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.8578,6.7198,130.5386,9.9083,0.0,594.0,387.36,0.0,28.2888
laf,8,path,,UNLABELED,276.84,301.75,281.05,297.63,4.21,4.12,17.3451,8.7106,8.8305,278.945,299.69,1.0218,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.4448,1.1158,40.7834,3.0772,0.0,594.0,387.36,0.0,8.7106
laf,9,path,,UNLABELED,270.84,299.97,278.77,296.23,7.93,3.74,29.6581,18.9248,15.9066,274.805,298.1,2.1203,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.6264,2.2419,132.449,2.8595,0.0,594.0,387.36,0.0,20.8781
laf,10,path,,UNLABELED,264.56,307.01,272.94,297.98,8.38,9.03,75.6714,27.4015,21.749,268.75,302.495,0.928,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.2053,10.5231,131.3731,9.5013,0.0,594.0,387.36,0.0,27.4015
laf,11,path,,UNLABELED,265.19,315.65,269.87,310.73,4.68,4.92,23.0258,11.2667,10.7186,267.53,313.19,0.9512,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.423,2.1502,130.5074,3.972,0.0,594.0,387.36,0.0,11.2925
laf,12,path,,UNLABELED,257.53,314.92,267.67,305.11,10.14,9.81,99.4735,49.8286,27.5638,262.6,310.015,1.0336,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.0057,5.055,131.4143,10.6274,0.0,594.0,387.36,0.0,54.319
laf,13,path,,UNLABELED,244.01,331.24,259.67,313.08,15.66,18.16,284.3854,60.8234,44.3022,251.84,322.16,0.8623,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.4473,28.777,130.5195,11.4051,0.0,594.0,387.36,0.0,70.0759
laf,14,path,,UNLABELED,237.59,338.63,247.11,328.68,9.52,9.95,94.7239,51.9389,28.4097,242.35,333.655,0.9568,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.2694,2.9104,130.4131,9.9029,0.0,594.0,387.36,0.0,55.4919
laf,15,path,,UNLABELED,246.75,343.05,252.8,337.13,6.05,5.92,35.816,18.032,12.9757,249.775,340.09,1.022,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.2069,1.1606,130.5788,5.5035,0.0,594.0,387.36,0.0,18.032
laf,16,path,,UNLABELED,244.25,339.49,248.82,334.64,4.57,4.85,22.1646,10.8843,10.7498,246.535,337.065,0.9423,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.0008,1.9525,128.5428,4.59,0.0,594.0,387.36,0.0,10.8843
laf,17,path,,UNLABELED,209.4,372.23,220.16,359.27,10.76,12.96,139.4496,47.2236,28.9356,214.78,365.75,0.8302,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.2899,2.9415,130.3371,14.3523,0.0,594.0,387.36,0.0,63.4503
laf,18,path,,UNLABELED,207.86,473.93,218.23,463.15,10.37,10.78,111.7885,46.2305,33.3033,213.045,468.54,0.962,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.0871,1.3559,80.8828,10.9179,0.0,594.0,387.36,0.0,70.217
laf,19,path,,UNLABELED,210.37,489.42,220.67,480.06,10.3,9.36,96.408,50.0021,30.2991,215.52,484.74,1.1004,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.8637,2.4461,80.9049,9.2361,0.0,594.0,387.36,0.0,63.4135
laf,20,path,,UNLABELED,200.95,478.48,208.44,469.99,7.49,8.49,63.5901,30.5617,19.8409,204.695,474.235,0.8822,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.0821,2.1078,126.2538,3.7202,0.0,594.0,387.36,0.0,32.3368
laf,21,path,,UNLABELED,202.59,489.41,210.97,483.99,8.38,5.42,45.4196,29.2083,20.2211,206.78,486.7,1.5461,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.7196,3.584,9.92,4.5277,0.0,594.0,387.36,0.0,29.5261
laf,22,path,,UNLABELED,189.86,487.61,203.97,476.12,14.11,11.49,162.1239,90.3647,40.6776,196.915,481.865,1.228,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.3542,2.0151,129.5056,3.9141,0.0,594.0,387.36,0.0,103.9915
laf,23,path,,UNLABELED,159.2,459.41,167.02,451.73,7.82,7.68,60.0577,20.719,23.5196,163.11,455.57,1.0182,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.3575,1.8658,130.4816,7.2704,0.0,594.0,387.36,0.0,30.0879
laf,24,path,,UNLABELED,150.34,453.08,159.68,444.4,9.34,8.68,81.0712,26.4703,26.6745,155.01,448.74,1.076,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.0905,1.3394,130.4586,6.9657,0.0,594.0,387.36,0.0,38.9314
laf,25,path,,UNLABELED,155.0,414.04,166.61,409.7,11.61,4.34,50.3874,30.1944,18.848,160.805,411.87,2.6751,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,166.577,14.2186,176.1905,8.2783,0.0,594.0,387.36,0.0,32.3071
laf,26,path,,UNLABELED,173.01,412.17,187.27,397.05,14.26,15.12,215.611,59.8215,40.532,180.14,404.61,0.9431,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.6547,11.7666,130.2139,12.0345,0.0,594.0,387.36,0.0,78.3946
laf,27,path,,UNLABELED,192.12,390.81,204.13,375.76,12.01,15.05,180.7507,54.7505,39.0547,198.125,383.285,0.798,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.0064,3.2957,133.7518,12.3349,0.0,594.0,387.36,0.0,80.7615
laf,28,path,,UNLABELED,183.91,399.83,194.89,388.38,10.98,11.45,125.7211,74.4852,32.8521,189.4,394.105,0.959,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.0281,2.6318,130.1908,11.8078,0.0,594.0,387.36,0.0,78.0705
laf,29,path,,UNLABELED,168.97,348.12,173.54,341.3,4.57,6.82,31.1675,17.6061,12.3275,171.255,344.71,0.6701,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.0888,3.1764,80.1028,3.898,0.0,594.0,387.36,0.0,20.1987
laf,30,path,,UNLABELED,187.04,351.21,198.59,330.26,11.55,20.95,241.9727,75.7115,49.8568,192.815,340.735,0.5513,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.1462,4.2376,80.8884,21.2177,0.0,594.0,387.36,0.0,117.2967
laf,31,path,,UNLABELED,172.87,349.67,187.56,336.91,14.69,12.76,187.4444,108.6074,41.0989,180.215,343.29,1.1513,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,171.9326,1.3913,174.3418,4.3613,0.0,594.0,387.36,0.0,131.4472
laf,32,path,,UNLABELED,171.0,253.55,182.95,235.05,11.95,18.5,221.0749,80.717,45.7981,176.975,244.3,0.6459,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,76.2452,2.5635,80.9097,18.7353,0.0,594.0,387.36,0.0,115.2703
laf,33,path,,UNLABELED,162.46,337.34,179.89,252.55,17.43,84.79,1477.8905,269.998,165.9045,171.175,294.945,0.2056,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.7157,364.9332,80.8631,55.8587,0.0,594.0,387.36,0.0,356.8632
laf,34,path,,UNLABELED,160.57,253.12,171.62,240.83,11.05,12.29,135.8046,82.1156,29.8982,166.095,246.975,0.8991,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.363,2.1509,172.2036,4.1282,0.0,594.0,387.36,0.0,94.1756
laf,35,path,,UNLABELED,150.49,122.47,161.95,113.48,11.46,8.99,103.0253,48.5674,31.7434,156.22,117.975,1.2748,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.7962,4.1668,170.7603,10.1517,0.0,594.0,387.36,0.0,65.1533
laf,36,path,,UNLABELED,153.38,139.72,164.72,129.22,11.34,10.5,119.07,50.3982,33.3742,159.05,134.47,1.08,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.1457,1.4047,80.8565,10.6351,0.0,594.0,387.36,0.0,72.0387
laf,37,path,,UNLABELED,142.28,131.09,146.54,125.5,4.26,5.59,23.8134,18.3733,12.3366,144.41,128.295,0.7621,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.483,1.867,83.7865,4.9893,0.0,594.0,387.36,0.0,18.3733
laf,38,path,,UNLABELED,142.24,126.12,151.12,115.11,8.88,11.01,97.7688,44.2884,30.3743,146.68,120.615,0.8065,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.7346,4.5492,170.5378,3.7713,0.0,594.0,387.36,0.0,52.3305
laf,39,path,,UNLABELED,143.02,142.62,154.03,130.46,11.01,12.16,133.8816,80.9683,28.1438,148.525,136.54,0.9054,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,75.4777,2.1814,171.6954,4.6386,0.0,594.0,387.36,0.0,94.875
laf,40,path,,UNLABELED,146.62,388.4,156.4,377.75,9.78,10.65,104.1569,28.2807,17.0949,151.51,383.075,0.9183,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.1375,26.9189,46.7377,12.3588,0.0,594.0,387.36,0.0,28.2807
laf,41,path,,UNLABELED,177.71,389.54,188.25,348.97,10.54,40.57,427.6082,136.5646,71.8494,182.98,369.255,0.2598,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.8728,70.5703,80.7873,17.7388,0.0,594.0,387.36,0.0,171.6105
laf,42,path,,UNLABELED,136.22,472.18,142.21,463.41,5.99,8.77,52.5324,17.7488,21.191,139.215,467.795,0.683,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.4676,2.456,129.9422,6.978,0.0,594.0,387.36,0.0,25.7613
laf,43,path,,UNLABELED,166.44,412.7,173.23,407.15,6.79,5.55,37.6845,28.4091,18.3279,169.835,409.925,1.2234,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.6898,2.549,175.4226,6.6412,0.0,594.0,387.36,0.0,29.7484
laf,44,path,,UNLABELED,160.21,407.44,170.77,392.62,10.56,14.82,156.4992,40.7652,35.353,165.49,400.03,0.7126,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.0437,9.8912,47.2085,10.6428,0.0,594.0,387.36,0.0,58.5277
laf,45,path,,UNLABELED,147.26,404.57,156.44,393.01,9.18,11.56,106.1209,26.2927,26.2996,151.85,398.79,0.7941,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.2714,18.7329,130.9324,11.2643,0.0,594.0,387.36,0.0,36.4842
laf,46,path,,UNLABELED,160.2,388.35,174.23,374.62,14.03,13.73,192.6318,37.3857,38.4362,167.215,381.485,1.0219,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.4882,33.5411,131.9711,18.4671,0.0,594.0,387.36,0.0,44.3222
laf,47,path,,UNLABELED,154.71,394.52,161.95,386.75,7.24,7.77,56.2548,39.6589,25.9165,158.33,390.635,0.9318,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.277,1.6805,137.0456,2.3774,0.0,594.0,387.36,0.0,48.3243
laf,48,path,,UNLABELED,109.71,477.09,158.18,400.25,48.47,76.84,3724.4349,1470.1583,253.5641,133.945,438.67,0.6308,49,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.1115,3.9482,130.6472,20.3101,0.0,594.0,387.36,0.0,2237.1651
laf,49,path,,UNLABELED,104.8,404.74,147.93,362.39,43.13,42.35,1826.5547,648.7128,279.3596,126.365,383.565,1.0184,245,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.8814,1.9138,129.1054,21.6885,0.0,594.0,387.36,0.0,1226.7
laf,50,path,,UNLABELED,105.4,47.65,108.29,47.65,2.89,0.0,0.0,0.0,2.89,106.845,47.65,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,51,path,,UNLABELED,105.42,101.15,108.3,101.15,2.88,0.0,0.0,0.0,2.88,106.86,101.15,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,52,path,,UNLABELED,105.42,154.65,108.31,154.65,2.89,0.0,0.0,0.0,2.89,106.865,154.65,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,53,path,,UNLABELED,105.43,181.4,108.31,181.4,2.88,0.0,0.0,0.0,2.88,106.87,181.4,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,54,path,,UNLABELED,105.43,208.15,108.31,208.15,2.88,0.0,0.0,0.0,2.88,106.87,208.15,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,55,path,,UNLABELED,105.43,234.9,108.31,234.9,2.88,0.0,0.0,0.0,2.88,106.87,234.9,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,56,path,,UNLABELED,105.43,288.41,108.32,288.41,2.89,0.0,0.0,0.0,2.89,106.875,288.41,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,57,path,,UNLABELED,105.43,315.16,108.32,315.16,2.89,0.0,0.0,0.0,2.89,106.875,315.16,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,58,path,,UNLABELED,105.43,341.91,108.32,341.91,2.89,0.0,0.0,0.0,2.89,106.875,341.91,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,59,path,,UNLABELED,105.43,422.16,108.31,422.16,2.88,0.0,0.0,0.0,2.88,106.87,422.16,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,60,path,,UNLABELED,105.43,448.91,108.31,448.91,2.88,0.0,0.0,0.0,2.88,106.87,448.91,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,61,path,,UNLABELED,105.43,475.67,108.31,475.67,2.88,0.0,0.0,0.0,2.88,106.87,475.67,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,62,path,,UNLABELED,105.43,502.42,108.31,502.42,2.88,0.0,0.0,0.0,2.88,106.87,502.42,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,63,path,,UNLABELED,280.4,47.61,283.29,47.61,2.89,0.0,0.0,0.0,2.89,281.845,47.61,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,64,path,,UNLABELED,280.41,101.12,283.3,101.12,2.89,0.0,0.0,0.0,2.89,281.855,101.12,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,65,path,,UNLABELED,280.42,154.63,283.3,154.63,2.88,0.0,0.0,0.0,2.88,281.86,154.63,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,66,path,,UNLABELED,280.42,181.38,283.31,181.38,2.89,0.0,0.0,0.0,2.89,281.865,181.38,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,67,path,,UNLABELED,280.43,208.14,283.31,208.14,2.88,0.0,0.0,0.0,2.88,281.87,208.14,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,68,path,,UNLABELED,280.43,234.89,283.31,234.89,2.88,0.0,0.0,0.0,2.88,281.87,234.89,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,69,path,,UNLABELED,280.43,288.4,283.32,288.4,2.89,0.0,0.0,0.0,2.89,281.875,288.4,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,70,path,,UNLABELED,280.43,341.91,283.32,341.91,2.89,0.0,0.0,0.0,2.89,281.875,341.91,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,71,path,,UNLABELED,280.43,368.66,283.32,368.66,2.89,0.0,0.0,0.0,2.89,281.875,368.66,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,72,path,,UNLABELED,280.43,422.17,283.31,422.17,2.88,0.0,0.0,0.0,2.88,281.87,422.17,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,73,path,,UNLABELED,280.43,448.93,283.31,448.93,2.88,0.0,0.0,0.0,2.88,281.87,448.93,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,74,path,,UNLABELED,280.43,475.68,283.31,475.68,2.88,0.0,0.0,0.0,2.88,281.87,475.68,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,75,path,,UNLABELED,280.42,502.44,283.31,502.44,2.89,0.0,0.0,0.0,2.89,281.865,502.44,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,76,path,,UNLABELED,38.3,127.91,38.3,125.03,0.0,2.88,0.0,0.0,2.88,38.3,126.47,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,77,path,,UNLABELED,73.3,127.9,73.3,125.02,0.0,2.88,0.0,0.0,2.88,73.3,126.46,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,78,path,,UNLABELED,143.3,127.89,143.3,125.01,0.0,2.88,0.0,0.0,2.88,143.3,126.45,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,79,path,,UNLABELED,213.3,127.88,213.3,125.0,0.0,2.88,0.0,0.0,2.88,213.3,126.44,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,80,path,,UNLABELED,248.3,127.88,248.3,125.0,0.0,2.88,0.0,0.0,2.88,248.3,126.44,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,81,path,,UNLABELED,318.3,127.87,318.3,124.99,0.0,2.88,0.0,0.0,2.88,318.3,126.43,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,82,path,,UNLABELED,353.3,127.86,353.3,124.98,0.0,2.88,0.0,0.0,2.88,353.3,126.42,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,83,path,,UNLABELED,38.32,261.66,38.32,258.78,0.0,2.88,0.0,0.0,2.88,38.32,260.22,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,84,path,,UNLABELED,73.32,261.66,73.32,258.78,0.0,2.88,0.0,0.0,2.88,73.32,260.22,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,85,path,,UNLABELED,143.32,261.65,143.32,258.77,0.0,2.88,0.0,0.0,2.88,143.32,260.21,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,86,path,,UNLABELED,178.32,261.65,178.32,258.77,0.0,2.88,0.0,0.0,2.88,178.32,260.21,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,87,path,,UNLABELED,213.32,261.65,213.32,258.77,0.0,2.88,0.0,0.0,2.88,213.32,260.21,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,88,path,,UNLABELED,248.32,261.65,248.32,258.77,0.0,2.88,0.0,0.0,2.88,248.32,260.21,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,89,path,,UNLABELED,318.32,261.64,318.32,258.76,0.0,2.88,0.0,0.0,2.88,318.32,260.2,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,90,path,,UNLABELED,353.31,261.64,353.31,258.76,0.0,2.88,0.0,0.0,2.88,353.31,260.2,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,91,path,,UNLABELED,38.32,395.41,38.32,392.53,0.0,2.88,0.0,0.0,2.88,38.32,393.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,92,path,,UNLABELED,73.32,395.41,73.32,392.53,0.0,2.88,0.0,0.0,2.88,73.32,393.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,93,path,,UNLABELED,143.32,395.41,143.32,392.53,0.0,2.88,0.0,0.0,2.88,143.32,393.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,94,path,,UNLABELED,178.32,395.41,178.32,392.53,0.0,2.88,0.0,0.0,2.88,178.32,393.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,95,path,,UNLABELED,213.32,395.42,213.32,392.53,0.0,2.89,0.0,0.0,2.89,213.32,393.975,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
laf,96,path,,UNLABELED,248.32,395.42,248.32,392.54,0.0,2.88,0.0,0.0,2.88,248.32,393.98,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,97,path,,UNLABELED,318.32,395.42,318.32,392.54,0.0,2.88,0.0,0.0,2.88,318.32,393.98,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,98,path,,UNLABELED,38.31,529.16,38.31,526.28,0.0,2.88,0.0,0.0,2.88,38.31,527.72,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,99,path,,UNLABELED,73.31,529.16,73.31,526.28,0.0,2.88,0.0,0.0,2.88,73.31,527.72,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,100,path,,UNLABELED,143.31,529.17,143.31,526.29,0.0,2.88,0.0,0.0,2.88,143.31,527.73,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,101,path,,UNLABELED,178.31,529.18,178.31,526.3,0.0,2.88,0.0,0.0,2.88,178.31,527.74,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
laf,102,path,,UNLABELED,213.3,529.18,213.3,526.3,0.0,2.88,0.0,0.0,2.88,213.3,527.74,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
