airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
sig,0,path,,UNLABELED,149.95,397.78,230.36,312.23,80.41,85.55,6879.0761,2223.0117,273.0646,190.155,355.005,0.9399,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.3229,8.5174,138.432,50.7906,0.0,594.0,387.36,0.0,2837.5611
sig,1,path,,UNLABELED,117.54,380.6,125.94,370.0,8.4,10.6,89.0401,54.118,29.4428,121.74,375.3,0.7925,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.47,2.9086,97.1861,10.4723,0.0,594.0,387.36,0.0,63.3072
sig,2,path,,UNLABELED,125.43,380.32,134.72,371.81,9.29,8.51,79.0579,34.0534,30.1461,130.075,376.065,1.0917,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.6221,1.7902,97.2327,8.5783,0.0,594.0,387.36,0.0,50.156
sig,3,path,,UNLABELED,120.85,424.36,129.35,414.15,8.5,10.21,86.785,35.5779,31.2533,125.1,419.255,0.8325,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.9398,1.6158,97.2009,10.2912,0.0,594.0,387.36,0.0,52.1699
sig,4,path,,UNLABELED,113.17,420.37,121.22,414.19,8.05,6.18,49.749,32.5153,23.7372,117.195,417.28,1.3026,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.334,2.1485,176.1957,3.9186,0.0,594.0,387.36,0.0,35.4802
sig,5,path,,UNLABELED,177.07,95.84,183.8,88.06,6.73,7.78,52.3594,27.5365,22.1267,180.435,91.95,0.865,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.0951,2.9313,97.1433,7.8005,0.0,594.0,387.36,0.0,36.2648
sig,6,path,,UNLABELED,134.75,314.75,143.0,306.36,8.25,8.39,69.2176,27.7611,28.1713,138.875,310.555,0.9833,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.5302,1.2017,97.2006,8.4567,0.0,594.0,387.36,0.0,43.0838
sig,7,path,,UNLABELED,118.85,370.28,128.82,314.11,9.97,56.17,560.0155,173.2104,115.5695,123.835,342.195,0.1775,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.6985,285.4318,96.8671,52.3556,0.0,594.0,387.36,0.0,176.7406
sig,8,path,,UNLABELED,174.94,112.71,181.54,104.79,6.6,7.92,52.2719,24.7717,23.1394,178.24,108.75,0.8333,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.5281,2.2992,97.197,7.9023,0.0,594.0,387.36,0.0,34.0509
sig,9,path,,UNLABELED,183.58,96.38,191.22,89.96,7.64,6.42,49.0487,38.6043,24.0211,187.4,93.17,1.19,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.2936,2.5764,3.9452,5.5231,0.0,594.0,387.36,0.0,40.2827
sig,10,path,,UNLABELED,185.1,118.84,189.48,113.47,4.38,5.37,23.5205,17.828,15.1613,187.29,116.155,0.8156,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.0668,1.8708,5.5642,3.5065,0.0,594.0,387.36,0.0,20.0889
sig,11,path,,UNLABELED,189.4,117.5,196.65,115.18,7.25,2.32,16.8201,13.1604,11.021,193.025,116.34,3.125,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,5.4597,11.3217,5.0742,6.897,0.0,594.0,387.36,0.0,13.1913
sig,12,path,,UNLABELED,179.69,159.02,187.69,118.63,8.0,40.39,323.1201,112.7416,83.5269,183.69,138.825,0.1981,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.3546,159.4048,97.6892,40.4336,0.0,594.0,387.36,0.0,112.7689
sig,13,path,,UNLABELED,178.89,165.0,185.03,158.7,6.14,6.3,38.6819,28.5193,20.3363,181.96,161.85,0.9746,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.2142,1.7547,97.6451,6.0134,0.0,594.0,387.36,0.0,31.0055
sig,14,path,,UNLABELED,174.87,197.06,181.74,164.66,6.87,32.4,222.5883,101.3877,67.5217,178.305,180.86,0.212,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.2683,85.0176,97.0214,26.7506,0.0,594.0,387.36,0.0,101.4219
sig,15,path,,UNLABELED,174.13,203.08,181.86,196.77,7.73,6.31,48.7763,30.7605,22.3279,177.995,199.925,1.225,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.3383,1.6004,96.9621,6.105,0.0,594.0,387.36,0.0,36.9739
sig,16,path,,UNLABELED,172.52,216.1,177.32,202.83,4.8,13.27,63.696,41.9359,29.4381,174.92,209.465,0.3617,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.8166,15.1861,97.0492,13.1192,0.0,594.0,387.36,0.0,41.9363
sig,17,path,,UNLABELED,171.91,221.06,179.56,215.85,7.65,5.21,39.8564,26.2651,21.1751,175.735,218.455,1.4683,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.5496,1.312,97.0818,4.9477,0.0,594.0,387.36,0.0,32.24
sig,18,path,,UNLABELED,171.38,225.34,175.09,220.76,3.71,4.58,16.9918,12.9202,11.9149,173.235,223.05,0.81,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.224,1.8489,97.0591,4.3127,0.0,594.0,387.36,0.0,14.1077
sig,19,path,,UNLABELED,156.77,256.64,163.83,247.86,7.06,8.78,61.9868,33.2405,25.1299,160.3,252.25,0.8041,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,104.9921,2.9838,97.1903,8.7085,0.0,594.0,387.36,0.0,42.0255
sig,20,path,,UNLABELED,170.69,230.7,178.21,225.04,7.52,5.66,42.5632,27.378,22.0535,174.45,227.87,1.3286,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.1319,1.8052,97.0996,5.5828,0.0,594.0,387.36,0.0,33.8164
sig,21,path,,UNLABELED,148.45,322.54,155.99,311.05,7.54,11.49,86.6346,46.4153,30.4609,152.22,316.795,0.6562,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.2323,3.7665,97.1622,11.4695,0.0,594.0,387.36,0.0,56.0021
sig,22,path,,UNLABELED,155.65,350.65,162.79,322.54,7.14,28.11,200.7055,88.9886,59.7806,159.22,336.595,0.254,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.1166,48.241,97.7793,25.6359,0.0,594.0,387.36,0.0,94.0487
sig,23,path,,UNLABELED,155.52,322.96,164.41,311.56,8.89,11.4,101.3462,63.2612,33.9856,159.965,317.26,0.7798,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.9943,2.9805,98.3779,11.1187,0.0,594.0,387.36,0.0,72.5588
sig,24,path,,UNLABELED,142.08,372.81,150.28,351.02,8.2,21.79,178.678,94.4734,48.9646,146.18,361.915,0.3763,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.1432,11.2994,97.2188,21.9641,0.0,594.0,387.36,0.0,96.2979
sig,25,path,,UNLABELED,150.0,361.79,158.75,350.5,8.75,11.29,98.7874,49.7731,22.9096,154.375,356.145,0.775,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.6326,3.1326,91.852,8.6645,0.0,594.0,387.36,0.0,55.9993
sig,26,path,,UNLABELED,181.3,113.81,189.33,106.24,8.03,7.57,60.7873,40.5144,26.1005,185.315,110.025,1.0608,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.6205,1.1482,95.2221,3.7355,0.0,594.0,387.36,0.0,45.59
sig,27,path,,UNLABELED,186.1,106.53,190.7,96.2,4.6,10.33,47.5178,30.5041,24.3091,188.4,101.365,0.4453,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.7124,8.7481,96.9654,6.6793,0.0,594.0,387.36,0.0,35.7881
sig,28,path,,UNLABELED,168.73,247.06,173.56,230.58,4.83,16.48,79.5985,47.9193,35.7177,171.145,238.82,0.2931,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.5347,23.5075,96.6343,14.628,0.0,594.0,387.36,0.0,48.8584
sig,29,path,,UNLABELED,163.49,257.98,171.73,246.83,8.24,11.15,91.876,54.6771,32.7779,167.61,252.405,0.739,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.6769,3.2053,96.9958,11.0019,0.0,594.0,387.36,0.0,64.7342
sig,30,path,,UNLABELED,164.9,76.59,172.77,70.45,7.87,6.14,48.3219,21.5136,23.0375,168.835,73.52,1.2818,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.0985,4.9065,5.4438,7.9057,0.0,594.0,387.36,0.0,28.6907
sig,31,path,,UNLABELED,113.23,414.45,120.93,380.39,7.7,34.06,262.2621,120.2128,71.549,117.08,397.42,0.2261,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.3321,85.7003,97.1668,33.9855,0.0,594.0,387.36,0.0,123.3601
sig,32,path,,UNLABELED,160.51,311.96,170.39,257.62,9.88,54.34,536.8786,202.4524,113.5457,165.45,284.79,0.1818,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.6118,120.4404,96.8804,53.1729,0.0,594.0,387.36,0.0,231.2114
sig,33,path,,UNLABELED,153.58,93.67,164.9,70.25,11.32,23.42,265.114,70.6079,57.2324,159.24,81.96,0.4833,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.0312,13.8727,99.037,10.1864,0.0,594.0,387.36,0.0,140.0119
sig,34,path,,UNLABELED,152.4,102.5,161.23,93.22,8.83,9.28,81.9424,50.4253,27.4676,156.815,97.86,0.9515,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.6843,2.177,97.6373,8.8788,0.0,594.0,387.36,0.0,58.5571
sig,35,path,,UNLABELED,160.87,104.97,169.72,95.3,8.85,9.67,85.5795,31.7328,30.8796,165.295,100.135,0.9152,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,76.1218,1.1731,97.2489,9.7479,0.0,594.0,387.36,0.0,50.726
sig,36,path,,UNLABELED,135.53,233.87,155.86,102.02,20.33,131.85,2680.5115,481.4577,269.7825,145.695,167.945,0.1542,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.1515,1178.4328,97.2936,130.2841,0.0,594.0,387.36,0.0,483.0019
sig,37,path,,UNLABELED,134.46,242.92,143.51,233.37,9.05,9.55,86.4274,51.2029,32.0545,138.985,238.145,0.9476,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.8856,1.915,96.8402,8.9839,0.0,594.0,387.36,0.0,61.3724
sig,38,path,,UNLABELED,143.17,244.67,151.87,236.28,8.7,8.39,72.9931,27.1755,28.9563,147.52,240.475,1.0369,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.6063,1.1232,97.2006,8.4567,0.0,594.0,387.36,0.0,44.891
sig,39,path,,UNLABELED,125.8,314.48,135.04,303.6,9.24,10.88,100.5312,55.4428,31.9029,130.42,309.04,0.8493,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.442,2.1007,96.8363,10.5853,0.0,594.0,387.36,0.0,69.5301
sig,40,path,,UNLABELED,127.06,304.02,137.99,242.29,10.93,61.73,674.709,219.0124,126.9153,132.525,273.155,0.1771,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.1787,269.8737,96.8766,40.3402,0.0,594.0,387.36,0.0,219.9626
sig,41,path,,UNLABELED,115.74,263.55,154.68,82.11,38.94,181.44,7065.2728,2837.3489,484.9753,135.21,172.83,0.2146,58,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.5688,23.471,97.4364,83.5225,0.0,594.0,387.36,0.0,4053.4788
sig,42,path,,UNLABELED,126.46,94.07,131.58,90.24,5.12,3.83,19.6095,17.1947,11.7016,129.02,92.155,1.3368,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.7201,1.8991,4.4747,4.6141,0.0,594.0,387.36,0.0,17.1947
sig,43,path,,UNLABELED,196.24,120.58,207.98,103.98,11.74,16.6,194.8842,155.9116,51.9472,202.11,112.28,0.7072,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.0943,3.0306,96.4092,11.9145,0.0,594.0,387.36,0.0,159.0745
sig,44,path,,UNLABELED,183.94,170.04,204.71,124.77,20.77,45.27,940.2572,681.3328,120.7121,194.325,147.405,0.4588,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.8757,5.0431,97.1834,32.868,0.0,594.0,387.36,0.0,733.1265
sig,45,path,,UNLABELED,158.21,354.81,204.6,168.15,46.39,186.66,8659.1567,2489.2826,547.0524,181.405,261.48,0.2485,147,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.8413,33.5193,138.4351,31.8629,0.0,594.0,387.36,0.0,5267.263
sig,46,path,,UNLABELED,102.42,109.29,105.31,109.29,2.89,0.0,0.0,0.0,2.89,103.865,109.29,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,47,path,,UNLABELED,102.43,154.69,105.31,154.69,2.88,0.0,0.0,0.0,2.88,103.87,154.69,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,48,path,,UNLABELED,102.43,200.09,105.31,200.09,2.88,0.0,0.0,0.0,2.88,103.87,200.09,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,49,path,,UNLABELED,102.43,290.89,105.31,290.89,2.88,0.0,0.0,0.0,2.88,103.87,290.89,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,50,path,,UNLABELED,102.43,336.29,105.31,336.29,2.88,0.0,0.0,0.0,2.88,103.87,336.29,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,51,path,,UNLABELED,102.43,381.69,105.31,381.69,2.88,0.0,0.0,0.0,2.88,103.87,381.69,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,52,path,,UNLABELED,102.43,427.09,105.31,427.09,2.88,0.0,0.0,0.0,2.88,103.87,427.09,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,53,path,,UNLABELED,102.42,517.89,105.3,517.89,2.88,0.0,0.0,0.0,2.88,103.86,517.89,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,54,path,,UNLABELED,340.29,109.28,343.17,109.28,2.88,0.0,0.0,0.0,2.88,341.73,109.28,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,55,path,,UNLABELED,340.29,154.68,343.18,154.68,2.89,0.0,0.0,0.0,2.89,341.735,154.68,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,56,path,,UNLABELED,340.3,200.09,343.18,200.09,2.88,0.0,0.0,0.0,2.88,341.74,200.09,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,57,path,,UNLABELED,340.3,290.89,343.18,290.89,2.88,0.0,0.0,0.0,2.88,341.74,290.89,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,58,path,,UNLABELED,340.29,336.29,343.18,336.29,2.89,0.0,0.0,0.0,2.89,341.735,336.29,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,59,path,,UNLABELED,340.29,381.69,343.18,381.69,2.89,0.0,0.0,0.0,2.89,341.735,381.69,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,60,path,,UNLABELED,340.29,427.1,343.18,427.1,2.89,0.0,0.0,0.0,2.89,341.735,427.1,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,61,path,,UNLABELED,340.29,517.9,343.17,517.9,2.88,0.0,0.0,0.0,2.88,341.73,517.9,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,62,path,,UNLABELED,57.74,245.49,57.74,242.61,0.0,2.88,0.0,0.0,2.88,57.74,244.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,63,path,,UNLABELED,152.88,245.49,152.88,242.61,0.0,2.88,0.0,0.0,2.88,152.88,244.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,64,path,,UNLABELED,200.46,245.49,200.46,242.61,0.0,2.88,0.0,0.0,2.88,200.46,244.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,65,path,,UNLABELED,248.03,245.49,248.03,242.61,0.0,2.88,0.0,0.0,2.88,248.03,244.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,66,path,,UNLABELED,295.61,245.49,295.61,242.61,0.0,2.88,0.0,0.0,2.88,295.61,244.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,67,path,,UNLABELED,57.73,472.49,57.73,469.6,0.0,2.89,0.0,0.0,2.89,57.73,471.045,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,68,path,,UNLABELED,152.88,472.49,152.88,469.61,0.0,2.88,0.0,0.0,2.88,152.88,471.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,69,path,,UNLABELED,200.45,472.49,200.45,469.61,0.0,2.88,0.0,0.0,2.88,200.45,471.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,70,path,,UNLABELED,248.03,472.49,248.03,469.61,0.0,2.88,0.0,0.0,2.88,248.03,471.05,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
sig,71,path,,UNLABELED,295.6,472.5,295.6,469.61,0.0,2.89,0.0,0.0,2.89,295.6,471.055,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
sig,72,path,,UNLABELED,105.3,50.81,105.31,44.72,0.01,6.09,0.0609,0.0,6.09,105.305,47.765,0.0016,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,89.9059,1000000.0,89.9059,6.09,0.0,594.0,387.36,0.0,0.0
sig,73,path,,UNLABELED,105.3,549.11,105.31,225.78,0.01,323.33,3.234,1.2338,323.33,105.305,387.445,0.0,4,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0013,1000000.0,90.0,227.0,0.0,594.0,387.36,0.0,1.2338
sig,74,path,,UNLABELED,18.04,245.49,312.62,245.49,294.58,0.0,0.0,0.0,294.58,165.33,245.49,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,294.58,0.0,594.0,387.36,0.0,0.0
sig,75,path,,UNLABELED,333.21,245.49,355.59,245.49,22.38,0.0,0.0,0.0,22.38,344.4,245.49,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,22.38,0.0,594.0,387.36,0.0,0.0
